# Copyright by Intel-Data Authors
# Managed by Safing at https://github.com/safing/intel-data
# License: CC-BY-SA-4.0

# Resolved from securedns.txt
# `for domain in $(cat list.txt); do dig +short $domain A; echo "# $domain"; done`
# Plus, manually editing
1.0.0.1 # cloudflare-dns.com
1.0.0.2 # security.cloudflare-dns.com
1.0.0.3 # family.cloudflare-dns.com
1.1.1.1 # cloudflare-dns.com
1.1.1.2 # security.cloudflare-dns.com
1.1.1.3 # family.cloudflare-dns.com
# 104.16.0.0/12 (-104.31) is all CloudFlare
116.202.176.26 # doh.libredns.gr
130.59.31.248 # dns.switch.ch
130.59.31.251 # dns.switch.ch
136.144.215.158 # doh.powerdns.org
139.59.48.222 # doh.captnemo.in
146.112.41.2 # doh.opendns.com
146.112.41.3 # doh.familyshield.opendns.com
149.112.112.10 # dns10.quad9.net
149.112.112.11 # dns11.quad9.net
149.112.112.112 # dns.quad9.net
149.112.112.9 # dns9.quad9.net
149.112.121.10 # private.canadianshield.cira.ca
149.112.121.20 # protected.canadianshield.cira.ca
149.112.121.30 # family.canadianshield.cira.ca
149.112.122.10 # private.canadianshield.cira.ca
149.112.122.20 # protected.canadianshield.cira.ca
149.112.122.30 # family.canadianshield.cira.ca
159.69.198.101 # doh-de.blahdns.com
168.235.81.167 # dns-nyc.aaflalo.me
172.104.13.242 # commons.host
172.104.93.80 # jp.tiar.app
172.65.3.223 # adblock.mydns.network
174.138.29.175 # doh.tiar.app
174.68.248.77 # dohdot.coxlab.net
176.103.130.130 # dns.adguard.com
176.103.130.131 # dns.adguard.com
176.103.130.132 # dns-family.adguard.com
176.103.130.134 # dns-family.adguard.com
176.56.236.175 # dns.aaflalo.me
176.9.1.117 # dnsforge.de
176.9.93.198 # dnsforge.de
179.61.253.223 # dnsguard.pub
181.214.231.96 # dnsguard.pub
178.62.214.105 # jcdns.fun
185.134.196.54 # rdns.faelix.net
185.134.197.54 # rdns.faelix.net
185.213.26.187 # doh.eastus.pi-dns.com
185.216.27.142 # doh.42l.fr
185.228.168.10 # doh.cleanbrowsing.org
185.228.168.168 # doh.cleanbrowsing.org
185.233.106.232 # dns.dnshome.de
185.233.107.4 # dns.dnshome.de
185.235.81.1 # doh.dnslify.com
185.26.126.37 # dns.hostux.net
185.43.135.1 # odvr.nic.cz
185.95.218.42 # dns.digitale-gesellschaft.ch
185.95.218.43 # dns.digitale-gesellschaft.ch
210.17.9.228 # dns.twnic.tw
217.169.20.22 # dns.aa.net.uk
217.169.20.23 # dns.aa.net.uk
35.198.2.76 # ibuki.cgnat.net
35.230.160.38 # doh.blockerdns.com
35.237.220.84 # doh.blockerdns.com
45.32.55.94 # doh-jp.blahdns.com
45.67.219.208 # doh.westus.pi-dns.com
45.76.113.31 # doh.seby.io
45.77.180.10 # dns.containerpi.com
45.90.28.0 # dns.nextdns.io
45.90.30.0 # dns.nextdns.io
46.101.66.244 # doh.li
46.227.200.54 # rdns.faelix.net
46.227.200.55 # rdns.faelix.net
46.239.223.80 # dns.flatuslifir.is
51.158.147.50 # resolver-eu.lelux.fi
8.8.4.4 # dns.google
8.8.8.8 # dns.google
85.5.93.230 # ibksturm.synology.me
88.198.91.187 # doh.centraleu.pi-dns.com
9.9.9.10 # dns10.quad9.net
9.9.9.11 # dns11.quad9.net
9.9.9.9 # dns.quad9.net
9.9.9.9 # dns9.quad9.net
94.130.106.88 # doh.applied-privacy.net
95.216.181.228 # doh.northeu.pi-dns.com
95.216.212.177 # doh-fi.blahdns.com
95.216.229.153 # fi.doh.dns.snopyta.org
96.113.151.149 # doh.xfinity.com
